fid,CD_MUN,NM_MUN,NM_UF,AREA_KM2,TX_MORTINF,ACESS_QLT,P_ESC1a3,P_ESC4a7,P_ESC12+,P_ESC8a11,T_SEMCOB,T_COB1a3,T_COB4a6,T_COB7+,T_COBign,SIM_OBITOS,IND_CPAPS,SINASC,Pop_Tot,SEM_COB,COB_1a3,COB_4a6,COB_7+,COB_IGNOR,TOT_COB,NFEZ_PN,INADEQ_PN,INTERM_PN,ADQ_PN,MAISQADQ_PN,NOCLASS_PN,SEM_ESCOL,ESCOL_1a3,ESCOL_4a7,ESCOL_8a11,ESCOL_12+,TOT_ESCOL,PIB_corr,ACESS_GEO
"1","120080",Porto Acre,Acre,"2603.942","29.76",Muito aces,"3.9","35.1","8.6","50.3","25","7.4","23.5","39.9","4.1","10","91,42","336","14.880","84","25","79","134","14","336","3","71","26","23","113","100","6","13","118","169","29","336","585139","1"
"2","120038",Plácido de Castro,Acre,"1952.531","3.91",Muito aces,"6.3","24.2","13.7","53.9","20.3","1.6","21.9","50.4","5.8","1","138,97","256","17.209","52","4","56","129","15","256","4","45","17","23","104","63","4","16","62","138","35","256","829047","1"
"3","120035",Marechal Thaumaturgo,Acre,"8185.635","8.15",Remoto,"3.5","17.7","4.9","53.8","9.5","17.4","29.3","43.5","0.2","3","82,56","368","14.227","35","64","108","160","1","368","10","102","50","27","148","31","59","13","65","198","18","368","256481","3"
"4","120033",Mâncio Lima,Acre,"5414.073","21.21",Muito aces,"1.2","11.5","11.2","69.7","0.3","7.6","31.2","60.9","0","7","142,54","330","15.206","1","25","103","201","0","330","-","70","29","42","180","9","19","4","38","230","37","330","289345","1"
"5","120032",Jordão,Acre,"5346.443","34.78",Remoto,"6.5","33","2.2","48.3","7","39.1","27","25.7","1.3","8","108,13","230","6.577","16","90","62","59","3","230","2","112","32","13","47","24","10","15","76","111","5","230","136531","3"
"6","120045",Senador Guiomard,Acre,"2320.956","14.53",Muito aces,"3.2","22.7","12.8","59.6","26.7","6.1","18.3","43","5.8","5","119,42","344","20.179","92","21","63","148","20","344","4","70","16","22","122","110","5","11","78","205","44","344","1037716","1"
"7","120043",Santa Rosa do Purus,Acre,"6144.95","46.3",Remoto,"13.9","33.8","2.8","36.1","10.6","36.1","30.6","20.8","1.8","10","152,32","216","4.691","23","78","66","45","4","216","4","104","30","13","37","28","27","30","73","78","6","216","114984","3"
"8","120042",Rodrigues Alves,Acre,"3082.396","6.23",Muito aces,"2.8","10","10.6","66.4","1.9","10","30.2","57.9","0","2","159,35","321","14.389","6","32","97","186","0","321","-","80","30","30","163","18","32","9","32","213","34","321","253225","1"
"9","120040",Rio Branco,Acre,"8834.832","14.94",Muito aces,"2.4","19.5","25.3","52","21","6.6","20.9","47.2","4.2","80","74,47","5353","336.038","1124","352","1121","2527","229","5353","72","979","409","348","2194","1351","33","128","1042","2785","1355","5353","11266899","1"
"10","120039",Porto Walter,Acre,"6452.756","22.56",Remoto,"3","17.7","4.1","65","1.1","12","43.6","43.2","0","6","103,56","266","9.176","3","32","116","115","0","266","1","107","33","22","94","9","26","8","47","173","11","266","177517","3"
